Whisky,Age,MetaCritic,StDev,Num_of_Critics,Cost,Class,SuperCluster,Cluster,Country,Type
TÌ© Bheag,0,8.44,0.31,15,$30-50 CAD,Scotch-like,,,Scotland,Blend
Three Ships 10yo,10,8.43,0.38,10,$70-125 CAD,Scotch-like,,,South Africa,Blend
Johnnie Walker Double Black,0,8.42,0.38,15,$30-50 CAD,Scotch-like,,,Scotland,Blend
Kirin 50% Blend (Fuji Gotemba),0,8.42,0.42,3,$70-125 CAD,Scotch-like,,,Japan,Blend
Blandnoch Pure Scot,0,8.41,0.43,6,$50-70 CAD,Scotch-like,,,Scotland,Blend
Jameson Select Reserve (Black Barrel),0,8.39,0.38,18,$30-50 CAD,Scotch-like,,,Ireland,Blend
Johnnie Walker 10yo Rye Cask Finish,10,8.39,0.43,6,$50-70 CAD,Scotch-like,,,Scotland,Blend
Bushmills Red Bush,0,8.37,0.3,7,$30-50 CAD,Scotch-like,,,Ireland,Blend
Jameson 12yo Special Reserve,12,8.37,0.25,11,$70-125 CAD,Scotch-like,,,Ireland,Blend
Jameson Signature Reserve,0,8.37,0.32,5,$30-50 CAD,Scotch-like,,,Ireland,Blend
Buchanan's Master Blended,0,8.36,0.35,6,$50-70 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Explorer‰Ûªs Club The Spice Road,0,8.36,0.53,9,$30-50 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Explorer‰Ûªs Club The Royal Route,0,8.34,0.3,8,$125-300 CAD,Scotch-like,,,Scotland,Blend
The Irishman Founder‰Ûªs Reserve,0,8.34,0.33,9,$30-50 CAD,Scotch-like,,,Ireland,Blend
Powers Three Swallow,0,8.33,0.26,3,$50-70 CAD,Scotch-like,,,Ireland,Blend
Suntory Old Whisky,0,8.33,0.25,8,$50-70 CAD,Scotch-like,,,Japan,Blend
Johnnie Walker Gold Label Reserve,0,8.28,0.31,18,$70-125 CAD,Scotch-like,,,Scotland,Blend
Glendalough Double Barrel,0,8.27,0.35,8,$30-50 CAD,Scotch-like,,,Ireland,Grain
Jameson Bold Irish Whiskey,0,8.27,0.4,4,$70-125 CAD,Scotch-like,,,Ireland,Blend
Johnnie Walker 12yo Black Label,12,8.25,0.47,24,$30-50 CAD,Scotch-like,,,Scotland,Blend
Jameson Distiller's Safe Irish Whiskey,0,8.24,0.54,7,$70-125 CAD,Scotch-like,,,Ireland,Blend
Suntory The Chita Single Grain,0,8.23,0.42,8,$50-70 CAD,Scotch-like,,,Japan,Blend
Chivas Regal 18yo,18,8.22,0.46,15,$70-125 CAD,Scotch-like,,,Scotland,Blend
Compass Box Asyla,0,8.22,0.43,15,$50-70 CAD,Scotch-like,,,Scotland,Blend
Jameson Crested Irish Whiskey,0,8.2,0.39,4,$30-50 CAD,Scotch-like,,,Ireland,Blend
Suntory Toki,0,8.18,0.42,11,$50-70 CAD,Scotch-like,,,Japan,Blend
Black Bottle (pre-2013),0,8.17,0.5,15,$30-50 CAD,Scotch-like,,,Scotland,Blend
Jameson Caskmates Stout Edition,0,8.15,0.49,10,$30-50 CAD,Scotch-like,,,Ireland,Blend
Bain's Cape Mountain Whisky,0,8.13,0.48,10,$30-50 CAD,Scotch-like,,,South Africa,Grain
Kilbeggan 8yo Single Grain (Greenore),8,8.13,0.39,12,$30-50 CAD,Scotch-like,,,Ireland,Grain
Famous Jubilee,0,8.12,0.17,3,$30-50 CAD,Scotch-like,,,Scotland,Blend
Teeling Poitin,0,8.12,0.24,5,$30-50 CAD,Scotch-like,,,Ireland,Blend
The Irishman Original Clan Irish Whiskey,0,8.12,0.25,4,$30-50 CAD,Scotch-like,,,Ireland,Blend
West Cork Original Bourbon Cask,0,8.12,0.37,6,$30-50 CAD,Scotch-like,,,Ireland,Blend
Bank Note 5yo Blended Scotch,5,8.1,0.65,5,<$30 CAD,Scotch-like,,,Scotland,Blend
Buchanan's 12yo Deluxe Blended,12,8.07,0.34,10,$30-50 CAD,Scotch-like,,,Scotland,Blend
Tullamore Dew Special Reserve 12yo,12,8.05,0.3,10,$50-70 CAD,Scotch-like,,,Ireland,Blend
Yamazakura 16yo Blended Whisky,16,8.05,0.58,3,$125-300 CAD,Scotch-like,,,Japan,Blend
Cutty Sark Storm,0,8.04,0.48,8,<$30 CAD,Scotch-like,,,Scotland,Blend
Whyte & Mackay 13yo,13,8.04,0.54,5,$70-125 CAD,Scotch-like,,,Scotland,Blend
Powers Gold Label,0,8.03,0.4,13,$30-50 CAD,Scotch-like,,,Ireland,Blend
Three Ships 5yo,5,8.03,0.5,9,<$30 CAD,Scotch-like,,,South Africa,Blend
2 Gingers Irish Whiskey,0,8.02,0.34,3,$30-50 CAD,Scotch-like,,,Ireland,Blend
Black Bottle (after 2013 re-launch),0,8.02,0.43,14,$30-50 CAD,Scotch-like,,,Scotland,Blend
Catto's Rare Old,0,8,0.69,5,<$30 CAD,Scotch-like,,,Scotland,Blend
Kakubin Yellow Label (Suntory Whisky),0,8,0.83,5,$30-50 CAD,Scotch-like,,,Japan,Blend
Grant's Blended Sherry Cask,0,7.99,0.2,6,<$30 CAD,Scotch-like,,,Scotland,Blend
Catto's 12yo,12,7.98,0.18,5,$30-50 CAD,Scotch-like,,,Scotland,Blend
Famous Grouse Smoky Black (Black Grouse),0,7.95,0.45,21,$30-50 CAD,Scotch-like,,,Scotland,Blend
Dewar's 12yo,12,7.94,0.36,14,$30-50 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker White Walker (Game of Thrones),0,7.92,0.77,6,$30-50 CAD,Scotch-like,,,Scotland,Blend
Islay Mist 8yo,8,7.89,0.48,9,<$30 CAD,Scotch-like,,,Scotland,Blend
John Barr Reserve (Black Label),0,7.89,0.46,6,<$30 CAD,Scotch-like,,,Scotland,Blend
Jameson Lively Irish Whiskey,0,7.87,0.42,3,$70-125 CAD,Scotch-like,,,Ireland,Blend
Grand Macnish,0,7.86,0.45,8,<$30 CAD,Scotch-like,,,Scotland,Blend
Hankey Bannister Original,0,7.86,0.32,6,<$30 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Explorer‰Ûªs Club The Adventurer,0,7.86,0.11,3,$30-50 CAD,Scotch-like,,,Scotland,Blend
Teacher's Highland Cream,0,7.86,0.74,12,<$30 CAD,Scotch-like,,,Scotland,Blend
Tullamore Dew Original Blended,0,7.86,0.4,20,$30-50 CAD,Scotch-like,,,Ireland,Blend
Highland Queen,0,7.85,0.48,3,<$30 CAD,Scotch-like,,,,
Jameson Irish Whiskey,0,7.81,0.42,21,$30-50 CAD,Scotch-like,,,Ireland,Blend
Chivas Regal 12yo,12,7.78,0.44,23,$30-50 CAD,Scotch-like,,,Scotland,Blend
Compass Box Orangerie,0,7.77,0.93,9,$30-50 CAD,Scotch-like,,,Scotland,Blend
Bushmills Original Blended,0,7.7,0.47,18,$30-50 CAD,Scotch-like,,,Ireland,Blend
Grant's Family Reserve Blended,0,7.7,0.65,14,<$30 CAD,Scotch-like,,,Scotland,Blend
The Quiet Man Traditional Irish Whiskey,0,7.67,1.06,8,$30-50 CAD,Scotch-like,,,Ireland,Blend
Famous Grouse,0,7.65,0.57,21,<$30 CAD,Scotch-like,,,Scotland,Blend
Whyte & Mackay Special Blended,0,7.65,0.4,7,<$30 CAD,Scotch-like,,,Scotland,Blend
Mackmyra Vit Hund,0,7.62,0.56,3,$50-70 CAD,Scotch-like,,,Sweden,Malt
Ballantine's Finest,0,7.6,0.61,12,<$30 CAD,Scotch-like,,,Scotland,Blend
White Oak Akashi Blended,0,7.6,0.71,9,$50-70 CAD,Scotch-like,,,Japan,Blend
Dewar's White Label,0,7.59,0.7,16,$30-50 CAD,Scotch-like,,,Scotland,Blend
Bell's Original Scotch Whisky,0,7.56,0.69,8,<$30 CAD,Scotch-like,,,Scotland,Blend
Cutty Sark,0,7.52,0.46,15,<$30 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Red Label,0,7.41,0.62,23,<$30 CAD,Scotch-like,,,Scotland,Blend
P&M Blended Whisky,0,7.31,1.08,5,<$30 CAD,Scotch-like,,,France,Blend
Passport Blended Scotch,0,7.29,1.07,8,<$30 CAD,Scotch-like,,,Scotland,Blend
Whyte & Mackay Blended Triple Matured,0,7.29,0.87,3,<$30 CAD,Scotch-like,,,Scotland,Blend
J&B Rare,0,6.94,1.12,13,<$30 CAD,Scotch-like,,,Scotland,Blend
Yamazakura Blended Whisky,0,6.66,1.08,3,$50-70 CAD,Scotch-like,,,Japan,Blend
Booker's Rye,0,9.27,0.25,10,>$300 CAD,Rye-like,,R4,USA,Rye
Lot 40 Cask Strength 11 Year Old (2018),11,9.18,0.16,8,$70-125 CAD,Rye-like,,,Canada,Rye
Canadian Club 41yo Chronicles No. 1,41,9.16,0.23,5,$125-300 CAD,Rye-like,,,Canada,Blend
Lot 40 Cask Strength (Single Cask),0,9.16,0.1,7,$70-125 CAD,Rye-like,,,Canada,Rye
High West Rocky Mountain Rye 21yo,21,9.15,0.24,9,>$300 CAD,Rye-like,,R4,USA,Rye
Thomas H. Handy Sazerac,0,9.14,0.23,18,>$300 CAD,Rye-like,,R4,USA,Rye
High West Rocky Mountain Rye 16yo,16,9.11,0.32,6,$125-300 CAD,Rye-like,,R4,USA,Rye
J.P. Wiser‰Ûªs 35yo (2018),35,9.08,0.21,5,$125-300 CAD,Rye-like,,,Canada,Rye
Lot 40 Cask Strength 12 Year Old (2017),12,9.08,0.26,13,$70-125 CAD,Rye-like,,,Canada,Rye
Smooth Ambler Old Scout Single Barrel Rye,0,9.07,0.18,3,$70-125 CAD,Rye-like,,R4,USA,Rye
High West Midwinter Night‰Ûªs Dram Rye,0,9.04,0.14,14,$125-300 CAD,Rye-like,,R4,USA,Rye
J.P. Wiser‰Ûªs 35yo (2017),35,9.03,0.43,13,$125-300 CAD,Rye-like,,,Canada,Rye
Van Winkle Family Reserve Rye 13yo,13,9.03,0.45,10,>$300 CAD,Rye-like,,R4,USA,Rye
J.P. Wiser's Dissertation,0,9.01,0.27,11,$50-70 CAD,Rye-like,,,Canada,Blend
Canadian Club 30yo,30,8.98,0.18,6,$125-300 CAD,Rye-like,,,Canada,Blend
Canadian Rockies 21yo (46%),21,8.97,0.33,8,$70-125 CAD,Rye-like,,,Canada,Blend
Canadian Club 40yo,40,8.96,0.42,12,$125-300 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Legacy,0,8.96,0.37,16,$30-50 CAD,Rye-like,,,Canada,Blend
Gibson's Finest Rare 18yo,18,8.94,0.3,10,$70-125 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Alumni Series Wendel Clark 11yo 100% Rye,0,8.94,0.07,3,$30-50 CAD,Rye-like,,,Canada,Rye
Michter's Barrel Strength Rye,0,8.92,0.15,6,$70-125 CAD,Rye-like,,R4,USA,Rye
Sazerac 18yo,18,8.92,0.29,16,>$300 CAD,Rye-like,,R4,USA,Rye
High West Rendezvous Rye,0,8.91,0.28,18,$70-125 CAD,Rye-like,,R4,USA,Rye
Willett Family Estate 6yo Rye,6,8.9,0.24,5,$70-125 CAD,Rye-like,,R4,USA,Rye
Forty Creek Unity,0,8.89,0.27,3,$50-70 CAD,Rye-like,,,Canada,Blend
Willett Family Estate 4yo Rye,4,8.87,0.5,8,$50-70 CAD,Rye-like,,R4,USA,Rye
Willett Family Estate 7yo Rye,7,8.87,0.21,6,$70-125 CAD,Rye-like,,R4,USA,Rye
Amrut Rye,0,8.86,0.28,8,$70-125 CAD,Rye-like,,,India,Rye
J.P. Wiser's Union 52,0,8.86,0.36,10,$50-70 CAD,Rye-like,,,Canada,Blend
Lot 40,0,8.86,0.33,22,$30-50 CAD,Rye-like,,,Canada,Rye
Michter's 10yo Single Barrel Rye,10,8.85,0.24,8,>$300 CAD,Rye-like,,R4,USA,Rye
Masterson's Straight Rye 10yo,10,8.84,0.38,17,$70-125 CAD,Rye-like,,,Canada,Rye
Whistlepig The Boss Hog,0,8.84,0.28,11,$125-300 CAD,Rye-like,,,Canada,Blend
"Forty Creek Confederation Oak (Batch A, B)",0,8.82,0.43,17,$50-70 CAD,Rye-like,,,Canada,Blend
Gooderham & Worts Eleven Souls Four Grain (2018),0,8.78,0.33,9,$70-125 CAD,Rye-like,,,Canada,Blend
High West Double Rye Manhattan Barrel,0,8.78,0.32,6,$50-70 CAD,Rye-like,,R4,USA,Rye
Pikesville Straight Rye,0,8.78,0.37,18,$70-125 CAD,Rye-like,,R4,USA,Rye
Willett Family Estate 25yo Rye,25,8.78,0.49,3,>$300 CAD,Rye-like,,R4,USA,Rye
J.P. Wiser‰Ûªs Red Letter,0,8.77,0.36,13,$70-125 CAD,Rye-like,,,Canada,Blend
Whistlepig 10yo,10,8.77,0.42,17,$70-125 CAD,Rye-like,,,Canada,Blend
High West Bourye,0,8.76,0.36,10,$70-125 CAD,Rye-like,,R4,USA,Blend
Crown Royal Hand Selected Barrel,0,8.75,0.26,12,$50-70 CAD,Rye-like,,,Canada,Blend
Forty Creek Heart of Gold,0,8.75,0.37,10,$70-125 CAD,Rye-like,,,Canada,Blend
Forty Creek Port Wood Reserve 2011/2012,0,8.75,0.25,11,$70-125 CAD,Rye-like,,,Canada,Blend
Willett Family Estate Rye (all ages),0,8.74,0.28,16,$70-125 CAD,Rye-like,,R4,USA,Rye
Forty Creek Confederation Oak (All Batches),0,8.73,0.38,20,$50-70 CAD,Rye-like,,,Canada,Blend
High West Double Rye,0,8.73,0.31,18,$30-50 CAD,Rye-like,,R4,USA,Rye
Highwood Ninety Rye 20yo,20,8.73,0.31,12,$30-50 CAD,Rye-like,,,Canada,Blend
Jack Daniel's Single Barrel Rye,0,8.72,0.22,7,$50-70 CAD,Rye-like,,R4,USA,Rye
Gooderham & Worts 17yo Little Trinity Three Grain (2017),17,8.71,0.31,11,$70-125 CAD,Rye-like,,,Canada,Blend
"Forty Creek Confederation Oak (Batch C, D)",0,8.7,0.42,4,$50-70 CAD,Rye-like,,,Canada,Blend
Millstone 100 Rye,0,8.7,0.31,9,$70-125 CAD,Rye-like,,,Netherlands,Rye
Century Reserve 21yo,21,8.69,0.2,11,$30-50 CAD,Rye-like,,,Canada,Blend
Russell's Reserve 6yo Rye,6,8.69,0.29,7,$50-70 CAD,Rye-like,,R4,USA,Rye
Willett Family Estate 3yo Rye,3,8.69,0.43,9,$50-70 CAD,Rye-like,,R4,USA,Rye
Colonel E.H. Taylor Straight Rye,0,8.68,0.24,10,$70-125 CAD,Rye-like,,R4,USA,Rye
Forty Creek Double Barrel Reserve,0,8.68,0.41,12,$50-70 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Seasoned Oak 19yo,19,8.68,0.42,11,$70-125 CAD,Rye-like,,,Canada,Blend
Willett Family Estate 5yo Rye,5,8.67,0.38,5,$70-125 CAD,Rye-like,,R4,USA,Rye
Angel‰Ûªs Envy Rye (Rum-finished),0,8.66,0.52,10,$70-125 CAD,Rye-like,,R4,USA,Rye
Crown Royal Noble Collection Wine Barrel Finished,0,8.66,0.48,8,$50-70 CAD,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs Canada 2018,0,8.65,0.34,5,$30-50 CAD,Rye-like,,,Canada,Rye
Pike Creek 21yo Double Barrel Speyside Cask Finish (2017),21,8.65,0.34,10,$70-125 CAD,Rye-like,,,Canada,Blend
FEW Rye Whisky,0,8.64,0.55,7,$70-125 CAD,Rye-like,,R4,USA,Rye
Forty Creek Copper Pot Reserve,0,8.62,0.41,15,<$30 CAD,Rye-like,,,Canada,Blend
Forty Creek Evolution,0,8.62,0.73,9,$50-70 CAD,Rye-like,,,Canada,Blend
Crown Royal Monarch 75th Anniversary,0,8.61,0.45,12,$50-70 CAD,Rye-like,,,Canada,Blend
Gooderham & Worts Four Grain,0,8.61,0.27,13,$30-50 CAD,Rye-like,,,Canada,Blend
Michter's Single Barrel Straight Rye,0,8.61,0.42,12,$50-70 CAD,Rye-like,,R4,USA,Rye
Smooth Ambler Old Scout 7yo Rye,7,8.61,0.38,8,$50-70 CAD,Rye-like,,R4,USA,Rye
Canadian Club 20yo,20,8.6,0.26,11,$50-70 CAD,Rye-like,,,Canada,Blend
Masterson's Straight Wheat 12yo,12,8.6,0.26,9,$70-125 CAD,Rye-like,,,Canada,Wheat
Crown Royal Blender's Select,0,8.59,0.12,4,$30-50 CAD,Rye-like,,,Canada,Blend
Jefferson's Straight Rye 10yo,10,8.59,0.36,7,$50-70 CAD,Rye-like,,R4,USA,Rye
Alberta Premium Dark Horse,0,8.58,0.35,17,<$30 CAD,Rye-like,,,Canada,Blend
Rittenhouse Rye 100 Proof,0,8.58,0.22,18,$30-50 CAD,Rye-like,,R4,USA,Rye
Sazerac Straight Rye,0,8.58,0.45,16,$30-50 CAD,Rye-like,,R4,USA,Rye
Alberta Rye Dark Batch,0,8.57,0.22,9,$30-50 CAD,Rye-like,,,Canada,Blend
High West Double Rye Campfire Barrel,0,8.56,0.31,5,$50-70 CAD,Rye-like,,R4,USA,Rye
J.P. Wiser's Triple Barrel Rye,0,8.56,0.28,9,<$30 CAD,Rye-like,,,Canada,Blend
Masterson's Straight Barley 10yo,10,8.56,0.6,7,$70-125 CAD,Rye-like,,,Canada,Barley
Caribou Crossing Single Barrel,0,8.55,0.34,14,$70-125 CAD,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs 18yo,18,8.55,0.41,18,$50-70 CAD,Rye-like,,,Canada,Blend
Collingwood 21yo,21,8.54,0.41,13,$50-70 CAD,Rye-like,,,Canada,Blend
Crown Royal Northern Harvest Rye,0,8.54,0.33,18,$30-50 CAD,Rye-like,,,Canada,Blend
Crown Royal XO,0,8.53,0.53,8,$50-70 CAD,Rye-like,,,Canada,Blend
Stalk & Barrel Rye,0,8.53,0.24,5,$50-70 CAD,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs One Fifty,0,8.5,0.37,8,$30-50 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Small Batch,0,8.5,0.27,11,<$30 CAD,Rye-like,,,Canada,Blend
Knob Creek Small Batch Straight Rye Whiskey,0,8.5,0.4,17,$50-70 CAD,Rye-like,,R4,USA,Rye
"Forty Creek Confederation Oak (Batch E, F)",0,8.49,0.24,5,$50-70 CAD,Rye-like,,,Canada,Blend
Forty Creek Heritage 2017,0,8.49,0.54,6,$50-70 CAD,Rye-like,,,Canada,Blend
Pike Creek 21yo Double Barrel European Oak Cask (2018),21,8.49,0.34,8,$70-125 CAD,Rye-like,,,Canada,Blend
Wild Turkey 101 Rye,0,8.49,0.31,15,$30-50 CAD,Rye-like,,R4,USA,Rye
Danfield's 21yo,21,8.48,0.68,13,$30-50 CAD,Rye-like,,,Canada,Blend
Willett Family Estate 2yo Rye,2,8.48,0.3,9,$50-70 CAD,Rye-like,,R4,USA,Rye
High West Yippee Ki-Yay,0,8.47,0.64,9,$70-125 CAD,Rye-like,,R4,USA,Rye
Jim Beam Pre-Prohibition Rye,0,8.45,0.38,6,<$30 CAD,Rye-like,,R4,USA,Rye
Pike Creek 10yo Rum-finished,10,8.45,0.28,10,$30-50 CAD,Rye-like,,,Canada,Blend
Forty Creek Founder's Reserve,0,8.44,0.34,6,$50-70 CAD,Rye-like,,,Canada,Blend
Prichard‰Ûªs Rye,0,8.44,0.29,3,$70-125 CAD,Rye-like,,R4,USA,Rye
George Dickel Rye,0,8.43,0.37,14,$30-50 CAD,Rye-like,,R4,USA,Rye
High West Son of Bourye,0,8.43,0.4,12,$50-70 CAD,Rye-like,,R4,USA,Blend
Forty Creek Barrel Select,0,8.42,0.44,17,<$30 CAD,Rye-like,,,Canada,Blend
Crown Royal Reserve,0,8.41,0.63,15,$50-70 CAD,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs 15yo,15,8.4,0.21,7,$50-70 CAD,Rye-like,,,Canada,Blend
Stalk & Barrel Rye (Cask Strength),0,8.39,0.41,9,$50-70 CAD,Rye-like,,,Canada,Blend
Potter's Special Old,0,8.37,0.47,4,<$30 CAD,Rye-like,,,Canada,Blend
Canadian Club Reserve 10yo,10,8.34,0.6,9,$30-50 CAD,Rye-like,,,Canada,Blend
Crown Royal Noble Collection Cornerstone Blend,0,8.34,0.66,5,$50-70 CAD,Rye-like,,,Canada,Blend
Pike Creek 10yo Port-finished,10,8.34,0.36,13,$30-50 CAD,Rye-like,,,Canada,Blend
Woodford Reserve Straight Rye,0,8.34,0.33,11,$30-50 CAD,Rye-like,,R4,USA,Rye
Centennial 10yo,10,8.32,0.43,6,<$30 CAD,Rye-like,,,Canada,Blend
Stalk & Barrel Red Blend,0,8.32,0.43,5,$30-50 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Double Still Rye,0,8.31,0.36,8,<$30 CAD,Rye-like,,,Canada,Blend
Bulleit Rye,0,8.3,0.61,18,$30-50 CAD,Rye-like,,R4,USA,Rye
Forty Creek Three Grain Harmony,0,8.3,0.5,8,$50-70 CAD,Rye-like,,,Canada,Blend
Jack Daniel's Rested Tennessee Rye (Batch 1/2),0,8.3,0.49,4,$50-70 CAD,Rye-like,,R4,USA,Rye
Yellow Rose Straight Rye,0,8.29,0.53,5,$50-70 CAD,Rye-like,,R4,USA,Rye
Crown Royal Limited Edition,0,8.27,0.2,11,$30-50 CAD,Rye-like,,,Canada,Blend
Willett Family Estate Rye XCF 1.0,0,8.27,0.48,4,$125-300 CAD,Rye-like,,R4,USA,Rye
Canadian Club 100% Rye,0,8.26,0.39,16,<$30 CAD,Rye-like,,,Canada,Rye
Alberta Springs 10yo,10,8.25,0.43,9,<$30 CAD,Rye-like,,,Canada,Blend
66 Gilead Crimson Rye,0,8.23,0.44,7,$30-50 CAD,Rye-like,,,Canada,Blend
Pendleton 1910,0,8.22,0.69,9,$30-50 CAD,Rye-like,,,Canada,Blend
Crown Royal Black,0,8.19,0.5,16,$30-50 CAD,Rye-like,,,Canada,Blend
Gibson's Bold 8yo,8,8.19,0.44,5,<$30 CAD,Rye-like,,,Canada,Blend
Stalk & Barrel 11+1 Canadian whisky,0,8.18,0.4,17,$30-50 CAD,Rye-like,,,Canada,Blend
Crown Royal Bourbon Mash (Blender's Mash),0,8.17,0.63,8,$30-50 CAD,Rye-like,,,Canada,Blend
Canadian Club Sherry Cask,0,8.16,0.65,8,$30-50 CAD,Rye-like,,,Canada,Blend
Alberta Premium,0,8.14,0.67,12,<$30 CAD,Rye-like,,,Canada,Blend
Canadian Club Classic 12yo (Small Batch),12,8.14,0.42,13,<$30 CAD,Rye-like,,,Canada,Blend
Hiram Walker Special Old Rye,0,8.12,0.36,9,<$30 CAD,Rye-like,,,Canada,Blend
Koval Single Barrel Rye,0,8.09,0.21,5,$50-70 CAD,Rye-like,,R4,USA,Rye
Century Reserve Lot 15/25,0,8.06,0.95,6,<$30 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Hopped,0,8.06,0.55,8,<$30 CAD,Rye-like,,,Canada,Blend
Canada Gold,0,8.05,0.72,5,<$30 CAD,Rye-like,,,Canada,Blend
Coyote Ugly,0,8.04,0.54,5,<$30 CAD,Rye-like,,,Canada,Blend
Royal Canadian Small Batch,0,8.04,0.37,13,$30-50 CAD,Rye-like,,,Canada,Blend
Canadian Mist Black Diamond,0,8.03,0.53,6,<$30 CAD,Rye-like,,,Canada,Blend
Collingwood,0,8.03,0.29,10,$30-50 CAD,Rye-like,,,Canada,Blend
Wild Turkey 81 Rye,0,8.03,0.21,7,$30-50 CAD,Rye-like,,R4,USA,Rye
Ezra Brooks Rye,0,8.01,0.49,3,<$30 CAD,Rye-like,,R4,USA,Rye
Gibson's Finest Sterling,0,8,0.36,9,<$30 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Deluxe,0,7.99,0.52,11,<$30 CAD,Rye-like,,,Canada,Blend
Canadian Club Reserve 9yo,9,7.97,0.5,5,<$30 CAD,Rye-like,,,Canada,Blend
Twelve Barrels,0,7.97,0.41,5,$30-50 CAD,Rye-like,,,Canada,Blend
Jim Beam Rye,0,7.96,0.61,11,<$30 CAD,Rye-like,,R4,USA,Rye
Templeton Rye,0,7.96,0.45,7,$50-70 CAD,Rye-like,,R4,USA,Rye
Highwood Ninety 5yo,5,7.95,0.79,8,<$30 CAD,Rye-like,,,Canada,Blend
Pendleton (Let'er Buck),0,7.95,0.52,14,$30-50 CAD,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs Rye,0,7.94,0.42,9,<$30 CAD,Rye-like,,,Canada,Blend
Wayne Gretzky No. 99 Red Cask,0,7.91,0.4,9,$30-50 CAD,Rye-like,,,Canada,Blend
Stalk & Barrel Blue Blend,0,7.9,0.6,4,$30-50 CAD,Rye-like,,,Canada,Blend
Gibson's Finest 12yo,12,7.84,0.75,12,<$30 CAD,Rye-like,,,Canada,Blend
Schenley Golden Wedding,0,7.79,0.67,10,<$30 CAD,Rye-like,,,Canada,Blend
Rich and Rare,0,7.75,0.62,6,<$30 CAD,Rye-like,,,Canada,Blend
Rich and Rare Reserve,0,7.73,0.54,7,<$30 CAD,Rye-like,,,Canada,Blend
Black Velvet 3yo,3,7.71,0.92,9,<$30 CAD,Rye-like,,,Canada,Blend
Old Overholt,0,7.71,0.56,8,<$30 CAD,Rye-like,,R4,USA,Rye
Seagram's VO,0,7.7,0.68,10,<$30 CAD,Rye-like,,,Canada,Blend
Silk Tassel,0,7.67,0.76,4,<$30 CAD,Rye-like,,,Canada,Blend
Canadian Mist,0,7.57,0.68,11,<$30 CAD,Rye-like,,,Canada,Blend
Crown Royal,0,7.56,0.49,19,<$30 CAD,Rye-like,,,Canada,Blend
8 Seconds,0,7.53,0.41,5,$30-50 CAD,Rye-like,,,Canada,Blend
J.P. Wiser's Special Blend,0,7.37,0.81,6,<$30 CAD,Rye-like,,,Canada,Blend
Seagram's Canadian 83,0,7.33,0.76,7,<$30 CAD,Rye-like,,,Canada,Blend
Canadian Club (Premium),0,7.32,0.68,20,<$30 CAD,Rye-like,,,Canada,Blend
Proof Whisky,0,7.19,0.79,9,$30-50 CAD,Rye-like,,,Canada,Blend
Black Velvet Reserve 8yo,8,7.18,0.62,3,<$30 CAD,Rye-like,,,Canada,Blend
Black Velvet Deluxe,0,7.1,0.75,8,<$30 CAD,Rye-like,,,Canada,Blend
Ellington Reserve 8yo,8,6.88,1,4,<$30 CAD,Rye-like,,,Canada,Blend
Parker‰Ûªs Heritage 2nd 27yo Kentucky Straight Boubon,27,9.28,0.35,3,>$300 CAD,Bourbon-like,,R1,USA,Bourbon
Willett Family Estate 22yo Bourbon,22,9.28,0.09,4,>$300 CAD,Bourbon-like,,R2,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 15yo,15,9.23,0.24,11,>$300 CAD,Bourbon-like,,R0,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 20yo,20,9.22,0.32,15,>$300 CAD,Bourbon-like,,R0,USA,Bourbon
William Larue Weller,0,9.22,0.24,16,>$300 CAD,Bourbon-like,,R0,USA,Bourbon
Parker‰Ûªs Heritage 7th 10yo Promise of Hope,10,9.2,0.32,9,>$300 CAD,Bourbon-like,,R1,USA,Bourbon
George T Stagg,0,9.17,0.25,23,>$300 CAD,Bourbon-like,,R1,USA,Bourbon
Willett Family Estate 24yo Bourbon,24,9.17,0.27,3,>$300 CAD,Bourbon-like,,R2,USA,Bourbon
Elijah Craig 21yo,21,9.16,0.35,6,>$300 CAD,Bourbon-like,,R1,USA,Bourbon
Wild Turkey 15yo American Spirit,15,9.13,0.31,3,>$300 CAD,Bourbon-like,,R2,USA,Bourbon
Stagg Jr batch 9 (131.9 proof),0,9.12,0.09,5,$70-125 CAD,Bourbon-like,,R1,USA,Bourbon
Parker‰Ûªs Heritage 4th 10yo Wheated Mash Bill Bourbon,10,9.08,0.22,5,>$300 CAD,Bourbon-like,,R0,USA,Bourbon
